Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Bugasura Issues),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
aaa,ZEP-8,10102,Test,To Do,ZEP,zephyr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Highest,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,23/Feb/23 7:15 PM,23/Feb/23 7:23 PM,23/Feb/23 7:23 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000j3:,,,,,3.0,,,,,,,,,,To Do
login issue with email,BUG-6,10101,Bug,To Do,BUG,bugathon,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,28/Nov/22 12:23 PM,28/Nov/22 12:23 PM,27/Feb/23 1:51 PM,,,0,could not login with the email id ,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000iv:,,,,,,,,,,,,28/Nov/22 12:23 PM;634e3b8701c2ff842c15c864;[Bugasura Issue Link|https://my.bugasura.io/testReports/50f77ecd6a9c1571e68ffb2c0927a067/95609?testResultsId=428202],,,To Do
Navigation Bar & My Transaction,BUG-5,10100,Bug,To Do,BUG,bugathon,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,28/Nov/22 12:15 PM,28/Nov/22 12:15 PM,27/Feb/23 1:52 PM,,,0,Navigation bar is missing when you click on the back link on the login page  for both Account and My Transaction,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;0_irctc-8.jpg;https://baragimys.atlassian.net/secure/attachment/10008/0_irctc-8.jpg,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;1_irctc-9.jpg;https://baragimys.atlassian.net/secure/attachment/10009/1_irctc-9.jpg,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;2_irctc-10.jpg;https://baragimys.atlassian.net/secure/attachment/10010/2_irctc-10.jpg,,,,,,,,,,,,,,,,,0|i000in:,,,,,,,,,,,,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;[Bugasura Issue Link|https://my.bugasura.io/testReports/50f77ecd6a9c1571e68ffb2c0927a067/95609?testResultsId=426825],,,To Do
Order food page,BUG-4,10099,Bug,To Do,BUG,bugathon,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Highest,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,28/Nov/22 12:15 PM,28/Nov/22 12:25 PM,27/Feb/23 1:52 PM,,,0,Clicking on the order food icon the page is taking time to load the order food page ,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;0_irctc-5.jpg;https://baragimys.atlassian.net/secure/attachment/10005/0_irctc-5.jpg,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;1_irctc-6.jpg;https://baragimys.atlassian.net/secure/attachment/10006/1_irctc-6.jpg,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;2_irctc-7.jpg;https://baragimys.atlassian.net/secure/attachment/10007/2_irctc-7.jpg,,,,,,,,,,,,,,,,,0|i000if:,,,,,,,,,,,,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;[Bugasura Issue Link|https://my.bugasura.io/testReports/50f77ecd6a9c1571e68ffb2c0927a067/95609?testResultsId=426800],,,To Do
Register User,BUG-3,10098,Bug,To Do,BUG,bugathon,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Highest,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,28/Nov/22 12:14 PM,28/Nov/22 12:15 PM,27/Feb/23 1:52 PM,,,0,When you click on the register user link in the login page  it takes time to redirect the page and  it will redirect to the blank page first  and then redirect to the train booking page. It has to be redirected to the user register page ,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;0_irctc-2.jpg;https://baragimys.atlassian.net/secure/attachment/10002/0_irctc-2.jpg,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;1_irctc-3.jpg;https://baragimys.atlassian.net/secure/attachment/10003/1_irctc-3.jpg,28/Nov/22 12:15 PM;634e3b8701c2ff842c15c864;2_irctc-4.jpg;https://baragimys.atlassian.net/secure/attachment/10004/2_irctc-4.jpg,,,,,,,,,,,,,,,,,0|i000i7:,,,,,,,,,,,,28/Nov/22 12:14 PM;634e3b8701c2ff842c15c864;[Bugasura Issue Link|https://my.bugasura.io/testReports/50f77ecd6a9c1571e68ffb2c0927a067/95609?testResultsId=426775],,,To Do
UI issue,BUG-2,10097,Bug,In Progress,BUG,bugathon,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,28/Nov/22 12:14 PM,28/Nov/22 12:20 PM,27/Feb/23 1:52 PM,,,0,"UI is not that good user can't  access easily some links are not in the proper manner
exit button has wrong symbol   ",,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,28/Nov/22 12:14 PM;634e3b8701c2ff842c15c864;0_irctc-1.jpg;https://baragimys.atlassian.net/secure/attachment/10001/0_irctc-1.jpg,,,,,,,,,,,,,,,,,,,0|i000hz:,,,,,,,,,,,,28/Nov/22 12:14 PM;634e3b8701c2ff842c15c864;[Bugasura Issue Link|https://my.bugasura.io/testReports/50f77ecd6a9c1571e68ffb2c0927a067/95609?testResultsId=426743],,,In Progress
login button issue,BUG-1,10096,Bug,To Do,BUG,bugathon,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Highest,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,16/Nov/22 10:26 AM,16/Nov/22 11:28 AM,22/Feb/23 2:43 PM,,,0,The login button in the login page has is a malfunctionality ,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,16/Nov/22 10:34 AM;634e3b8701c2ff842c15c864;orange hrm.PNG;https://baragimys.atlassian.net/secure/attachment/10000/orange+hrm.PNG,,,,,,,,,,,,,,,,,,,0|i000hr:,,,,,,,,,,,,,,,To Do
Bug-admin,ZEP-7,10095,Bug,To Do,ZEP,zephyr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,02/Nov/22 3:16 PM,02/Nov/22 3:20 PM,23/Feb/23 7:13 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,ZEP-4,,,,,,,,,,,,,,,,,,,,0|i000hj:,,,,,,,,,,,,,10090,OHRM,To Do
MyINfo,ZEP-6,10094,Test,To Do,ZEP,zephyr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,02/Nov/22 3:04 PM,02/Nov/22 3:04 PM,19/Feb/23 3:41 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000hb:,,,,,,,,,,,,,10090,OHRM,To Do
leave,ZEP-5,10093,Test,To Do,ZEP,zephyr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,02/Nov/22 3:02 PM,02/Nov/22 3:04 PM,23/Feb/23 7:14 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000h3:,,,,,,,,,,,,,10090,OHRM,To Do
